id,topic,source_id,instruction,input,output
TRAIN_016,diem_phuc_hoi_giay_phep_lai_xe,DEC168,"Trả lời câu hỏi về luật giao thông đường bộ Việt Nam. Trả lời ngắn gọn, đúng căn cứ, không bịa thông tin.",Cơ quan nào quản lý cơ sở dữ liệu để tự động phục hồi điểm giấy phép lái xe?,"Cục trưởng Cục Cảnh sát giao thông có trách nhiệm quản lý, vận hành cơ sở dữ liệu để cập nhật và tự động phục hồi điểm giấy phép lái xe theo quy định."
TRAIN_017,diem_phuc_hoi_giay_phep_lai_xe,DEC168,"Trả lời câu hỏi về luật giao thông đường bộ Việt Nam. Trả lời ngắn gọn, đúng căn cứ, không bịa thông tin.","Khi đủ 12 tháng kể từ lần trừ điểm gần nhất, điểm giấy phép lái xe được phục hồi ra sao?","Khi đủ 12 tháng kể từ ngày bị trừ điểm gần nhất, dữ liệu điểm giấy phép lái xe được tự động phục hồi đủ 12 điểm và cập nhật trong cơ sở dữ liệu."
TRAIN_018,diem_phuc_hoi_giay_phep_lai_xe,DEC168,"Trả lời câu hỏi về luật giao thông đường bộ Việt Nam. Trả lời ngắn gọn, đúng căn cứ, không bịa thông tin.",Việc phục hồi điểm giấy phép lái xe có được thông báo cho người lái xe không?,"Có. Sau khi dữ liệu điểm giấy phép lái xe được phục hồi, cơ sở dữ liệu sẽ chuyển thông tin thông báo cho người được phục hồi điểm biết."
TRAIN_019,diem_phuc_hoi_giay_phep_lai_xe,DEC168,"Trả lời câu hỏi về luật giao thông đường bộ Việt Nam. Trả lời ngắn gọn, đúng căn cứ, không bịa thông tin.",Thông báo phục hồi điểm giấy phép lái xe có thể thực hiện qua kênh nào?,"Thông báo phục hồi điểm có thể thực hiện bằng phương thức điện tử qua tài khoản trên Cổng dịch vụ công, ứng dụng giao thông trên thiết bị di động và cập nhật trên Trang thông tin điện tử của Cục Cảnh sát giao thông."
TRAIN_020,diem_phuc_hoi_giay_phep_lai_xe,DEC168,"Trả lời câu hỏi về luật giao thông đường bộ Việt Nam. Trả lời ngắn gọn, đúng căn cứ, không bịa thông tin.",Người bị trừ hết điểm sau khi kiểm tra đạt yêu cầu thì điểm được xử lý như thế nào?,"Sau khi người bị trừ hết điểm kiểm tra kiến thức pháp luật đạt yêu cầu, dữ liệu điểm giấy phép lái xe được phục hồi đủ 12 điểm và cập nhật tự động trong cơ sở dữ liệu."
TRAIN_021,diem_phuc_hoi_giay_phep_lai_xe,DEC168,"Trả lời câu hỏi về luật giao thông đường bộ Việt Nam. Trả lời ngắn gọn, đúng căn cứ, không bịa thông tin.",Trưởng phòng Cảnh sát giao thông có thẩm quyền phục hồi điểm trong trường hợp nào?,Trưởng phòng Cảnh sát giao thông nơi tổ chức kiểm tra kiến thức pháp luật có thẩm quyền phục hồi điểm cho giấy phép lái xe trong trường hợp người bị trừ hết điểm kiểm tra đạt yêu cầu.
TRAIN_022,diem_phuc_hoi_giay_phep_lai_xe,DEC168,"Trả lời câu hỏi về luật giao thông đường bộ Việt Nam. Trả lời ngắn gọn, đúng căn cứ, không bịa thông tin.",Nếu giấy phép lái xe ở dạng thông điệp dữ liệu thì trạng thái phục hồi điểm được cập nhật ở đâu?,"Nếu giấy phép lái xe được thể hiện dưới dạng thông điệp dữ liệu, trạng thái phục hồi điểm được cập nhật trong căn cước điện tử hoặc tài khoản định danh điện tử trên ứng dụng định danh quốc gia."
TRAIN_023,diem_phuc_hoi_giay_phep_lai_xe,DEC168,"Trả lời câu hỏi về luật giao thông đường bộ Việt Nam. Trả lời ngắn gọn, đúng căn cứ, không bịa thông tin.","Tôi bị trừ điểm bằng lái nhưng chưa hết điểm, vậy bao lâu thì điểm được phục hồi?",Nếu giấy phép lái xe chưa bị trừ hết điểm và không bị trừ điểm trong 12 tháng kể từ lần trừ điểm gần nhất thì được phục hồi đủ 12 điểm.
TRAIN_024,diem_phuc_hoi_giay_phep_lai_xe,DEC168,"Trả lời câu hỏi về luật giao thông đường bộ Việt Nam. Trả lời ngắn gọn, đúng căn cứ, không bịa thông tin.",Bằng lái bị trừ hết điểm thì tôi có được chạy xe theo bằng đó không?,"Không. Khi giấy phép lái xe bị trừ hết điểm, người có giấy phép đó không được điều khiển phương tiện theo giấy phép lái xe đó."
TRAIN_025,diem_phuc_hoi_giay_phep_lai_xe,DEC168,"Trả lời câu hỏi về luật giao thông đường bộ Việt Nam. Trả lời ngắn gọn, đúng căn cứ, không bịa thông tin.","Sau khi thi kiểm tra kiến thức đạt yêu cầu, người bị trừ hết điểm được phục hồi bao nhiêu điểm?","Sau khi kiểm tra kiến thức pháp luật về trật tự, an toàn giao thông đường bộ đạt yêu cầu, giấy phép lái xe được phục hồi đủ 12 điểm."
TRAIN_026,diem_phuc_hoi_giay_phep_lai_xe,DEC168,"Trả lời câu hỏi về luật giao thông đường bộ Việt Nam. Trả lời ngắn gọn, đúng căn cứ, không bịa thông tin.",Việc phục hồi điểm tự động áp dụng cho trường hợp nào?,Việc phục hồi điểm tự động áp dụng cho trường hợp giấy phép lái xe chưa bị trừ hết điểm và không bị trừ điểm trong 12 tháng từ ngày bị trừ điểm gần nhất.
TRAIN_027,diem_phuc_hoi_giay_phep_lai_xe,DEC168,"Trả lời câu hỏi về luật giao thông đường bộ Việt Nam. Trả lời ngắn gọn, đúng căn cứ, không bịa thông tin.",Khi cấp lại giấy phép lái xe thì điểm giấy phép được tính lại từ đầu không?,Không. Giấy phép lái xe sau khi cấp lại được giữ nguyên số điểm của giấy phép lái xe trước khi cấp lại.
TRAIN_028,diem_phuc_hoi_giay_phep_lai_xe,DEC168,"Trả lời câu hỏi về luật giao thông đường bộ Việt Nam. Trả lời ngắn gọn, đúng căn cứ, không bịa thông tin.",Nâng hạng giấy phép lái xe có làm thay đổi số điểm đang có không?,Không. Giấy phép lái xe sau khi nâng hạng được giữ nguyên số điểm của giấy phép lái xe trước khi nâng hạng.
TRAIN_029,diem_phuc_hoi_giay_phep_lai_xe,DEC168,"Trả lời câu hỏi về luật giao thông đường bộ Việt Nam. Trả lời ngắn gọn, đúng căn cứ, không bịa thông tin.",Dữ liệu điểm trừ có được cập nhật trước khi quyết định xử phạt có hiệu lực không?,Không. Dữ liệu điểm trừ giấy phép lái xe được cập nhật sau khi quyết định xử phạt có hiệu lực thi hành.
TRAIN_030,diem_phuc_hoi_giay_phep_lai_xe,DEC168,"Trả lời câu hỏi về luật giao thông đường bộ Việt Nam. Trả lời ngắn gọn, đúng căn cứ, không bịa thông tin.",Người có bằng lái bị trừ điểm có cần được thông báo không?,Có. Người bị trừ điểm giấy phép lái xe được thông báo sau khi dữ liệu điểm trừ được cập nhật vào hệ thống.
TRAIN_031,diem_phuc_hoi_giay_phep_lai_xe,DEC168,"Trả lời câu hỏi về luật giao thông đường bộ Việt Nam. Trả lời ngắn gọn, đúng căn cứ, không bịa thông tin.",Cục Cảnh sát giao thông có vai trò gì trong phục hồi điểm giấy phép lái xe?,"Cục Cảnh sát giao thông quản lý, vận hành cơ sở dữ liệu xử lý vi phạm để cập nhật và tự động phục hồi điểm giấy phép lái xe theo quy định."
TRAIN_032,diem_phuc_hoi_giay_phep_lai_xe,DEC168,"Trả lời câu hỏi về luật giao thông đường bộ Việt Nam. Trả lời ngắn gọn, đúng căn cứ, không bịa thông tin.",Phục hồi điểm qua phương thức điện tử được thực hiện qua đâu?,"Việc thông báo phục hồi điểm có thể thực hiện qua tài khoản trên Cổng dịch vụ công, ứng dụng giao thông trên thiết bị di động và Trang thông tin điện tử của Cục Cảnh sát giao thông."
TRAIN_033,diem_phuc_hoi_giay_phep_lai_xe,DEC168,"Trả lời câu hỏi về luật giao thông đường bộ Việt Nam. Trả lời ngắn gọn, đúng căn cứ, không bịa thông tin.",Người bị trừ hết điểm cần làm gì trước khi điểm được phục hồi?,"Người bị trừ hết điểm cần tham gia kiểm tra kiến thức pháp luật về trật tự, an toàn giao thông đường bộ và đạt yêu cầu."
TRAIN_034,diem_phuc_hoi_giay_phep_lai_xe,DEC168,"Trả lời câu hỏi về luật giao thông đường bộ Việt Nam. Trả lời ngắn gọn, đúng căn cứ, không bịa thông tin.","Nếu không bị trừ điểm thêm trong 12 tháng, giấy phép lái xe đang bị tước quyền sử dụng có được phục hồi điểm không?","Theo Nghị định 168/2024/NĐ-CP, khi đủ thời hạn 12 tháng, dữ liệu điểm giấy phép lái xe được tự động phục hồi đủ 12 điểm, gồm cả giấy phép lái xe đang trong thời hạn bị tước quyền sử dụng."
TRAIN_035,diem_phuc_hoi_giay_phep_lai_xe,DEC168,"Trả lời câu hỏi về luật giao thông đường bộ Việt Nam. Trả lời ngắn gọn, đúng căn cứ, không bịa thông tin.",Thông tin phục hồi điểm có được cập nhật trên trang của Cục Cảnh sát giao thông không?,Có. Thông tin về giấy phép lái xe được phục hồi điểm được cập nhật trên Trang thông tin điện tử của Cục Cảnh sát giao thông.
TRAIN_036,diem_phuc_hoi_giay_phep_lai_xe,DEC168,"Trả lời câu hỏi về luật giao thông đường bộ Việt Nam. Trả lời ngắn gọn, đúng căn cứ, không bịa thông tin.","Sau khi phục hồi đủ 12 điểm, ai thông báo cho người được phục hồi điểm trong trường hợp bị trừ hết điểm?",Người có thẩm quyền theo quy định tại Điều 51 Nghị định 168/2024/NĐ-CP thông báo cho người được phục hồi điểm biết việc phục hồi điểm.
TRAIN_037,diem_phuc_hoi_giay_phep_lai_xe,DEC168,"Trả lời câu hỏi về luật giao thông đường bộ Việt Nam. Trả lời ngắn gọn, đúng căn cứ, không bịa thông tin.",Điểm giấy phép lái xe có phải là cơ chế quản lý việc chấp hành pháp luật giao thông không?,"Có. Điểm giấy phép lái xe được dùng để quản lý việc chấp hành pháp luật về trật tự, an toàn giao thông đường bộ của người lái xe."
TRAIN_038,diem_phuc_hoi_giay_phep_lai_xe,DEC168,"Trả lời câu hỏi về luật giao thông đường bộ Việt Nam. Trả lời ngắn gọn, đúng căn cứ, không bịa thông tin.",Mức trừ điểm có giống nhau cho mọi hành vi vi phạm không?,Không. Số điểm bị trừ phụ thuộc vào tính chất và mức độ của từng hành vi vi phạm.
TRAIN_039,diem_phuc_hoi_giay_phep_lai_xe,DEC168,"Trả lời câu hỏi về luật giao thông đường bộ Việt Nam. Trả lời ngắn gọn, đúng căn cứ, không bịa thông tin.",Người bị trừ hết điểm muốn được phục hồi điểm ngay lập tức có được không?,Không. Người bị trừ hết điểm chỉ được tham gia kiểm tra sau thời hạn ít nhất 06 tháng kể từ ngày bị trừ hết điểm và phải đạt yêu cầu để được phục hồi đủ 12 điểm.
TRAIN_040,diem_phuc_hoi_giay_phep_lai_xe,DEC168,"Trả lời câu hỏi về luật giao thông đường bộ Việt Nam. Trả lời ngắn gọn, đúng căn cứ, không bịa thông tin.",Giấy phép lái xe sau khi đổi có được giữ nguyên số điểm không?,Có. Giấy phép lái xe sau khi đổi được giữ nguyên số điểm của giấy phép lái xe trước khi đổi.
TRAIN_041,diem_phuc_hoi_giay_phep_lai_xe,DEC168,"Trả lời câu hỏi về luật giao thông đường bộ Việt Nam. Trả lời ngắn gọn, đúng căn cứ, không bịa thông tin.",Cơ sở dữ liệu có tự động chuyển thông báo sau khi điểm được phục hồi không?,"Có. Sau khi dữ liệu điểm được phục hồi, cơ sở dữ liệu sẽ tự động chuyển thông tin thông báo cho người được phục hồi điểm biết."
TRAIN_042,diem_phuc_hoi_giay_phep_lai_xe,LAW36,"Trả lời câu hỏi về luật giao thông đường bộ Việt Nam. Trả lời ngắn gọn, đúng căn cứ, không bịa thông tin.",Điểm phục hồi của giấy phép lái xe là bao nhiêu khi đủ điều kiện?,"Khi đủ điều kiện phục hồi điểm, giấy phép lái xe được phục hồi đủ 12 điểm."
TRAIN_043,diem_phuc_hoi_giay_phep_lai_xe,DEC168,"Trả lời câu hỏi về luật giao thông đường bộ Việt Nam. Trả lời ngắn gọn, đúng căn cứ, không bịa thông tin.",Người bị trừ hết điểm có phải kiểm tra kiến thức pháp luật giao thông không?,"Có. Người bị trừ hết điểm phải tham gia kiểm tra kiến thức pháp luật về trật tự, an toàn giao thông đường bộ và đạt yêu cầu để được phục hồi điểm."
TRAIN_044,diem_phuc_hoi_giay_phep_lai_xe,DEC168,"Trả lời câu hỏi về luật giao thông đường bộ Việt Nam. Trả lời ngắn gọn, đúng căn cứ, không bịa thông tin.",Tài khoản định danh điện tử có thể cập nhật trạng thái phục hồi điểm không?,"Có. Với giấy phép lái xe dạng thông điệp dữ liệu, trạng thái phục hồi điểm có thể được cập nhật trong tài khoản định danh điện tử trên ứng dụng định danh quốc gia."
TRAIN_045,diem_phuc_hoi_giay_phep_lai_xe,DEC168,"Trả lời câu hỏi về luật giao thông đường bộ Việt Nam. Trả lời ngắn gọn, đúng căn cứ, không bịa thông tin.",Bị trừ điểm giấy phép lái xe thì dữ liệu có được đưa vào cơ sở dữ liệu không?,"Có. Dữ liệu điểm trừ giấy phép lái xe được cập nhật vào hệ thống cơ sở dữ liệu về trật tự, an toàn giao thông đường bộ."
TRAIN_046,bao_hieu_tin_hieu_giao_thong,LAW36,"Trả lời câu hỏi về luật giao thông đường bộ Việt Nam. Trả lời ngắn gọn, đúng căn cứ, không bịa thông tin.",Báo hiệu đường bộ gồm những thành phần nào?,"Báo hiệu đường bộ gồm hiệu lệnh của người điều khiển giao thông, đèn tín hiệu giao thông, biển báo hiệu đường bộ, vạch kẻ đường và các dấu hiệu khác trên mặt đường, cọc tiêu, rào chắn, đinh phản quang, cột Km, cọc H và thiết bị âm thanh báo hiệu đường bộ."
TRAIN_047,bao_hieu_tin_hieu_giao_thong,LAW36,"Trả lời câu hỏi về luật giao thông đường bộ Việt Nam. Trả lời ngắn gọn, đúng căn cứ, không bịa thông tin.",Thứ tự ưu tiên khi chấp hành báo hiệu đường bộ là gì?,"Người tham gia giao thông phải chấp hành theo thứ tự: hiệu lệnh của người điều khiển giao thông, tín hiệu đèn giao thông, biển báo hiệu đường bộ, vạch kẻ đường và các dấu hiệu khác, sau đó là các báo hiệu khác."
TRAIN_048,bao_hieu_tin_hieu_giao_thong,LAW36,"Trả lời câu hỏi về luật giao thông đường bộ Việt Nam. Trả lời ngắn gọn, đúng căn cứ, không bịa thông tin.",Khi người điều khiển giao thông giơ tay phải thẳng đứng thì người tham gia giao thông phải làm gì?,Tay phải giơ thẳng đứng báo hiệu người tham gia giao thông ở tất cả các hướng phải dừng lại.
TRAIN_049,bao_hieu_tin_hieu_giao_thong,LAW36,"Trả lời câu hỏi về luật giao thông đường bộ Việt Nam. Trả lời ngắn gọn, đúng căn cứ, không bịa thông tin.",Khi người điều khiển giao thông dang ngang hai tay hoặc một tay thì xe ở phía trước và phía sau phải làm gì?,"Khi người điều khiển giao thông dang ngang hai tay hoặc một tay, người tham gia giao thông ở phía trước và phía sau phải dừng lại."
TRAIN_050,bao_hieu_tin_hieu_giao_thong,LAW36,"Trả lời câu hỏi về luật giao thông đường bộ Việt Nam. Trả lời ngắn gọn, đúng căn cứ, không bịa thông tin.",Tín hiệu đèn giao thông có mấy màu?,"Tín hiệu đèn giao thông có 03 màu: xanh, vàng và đỏ."
TRAIN_051,bao_hieu_tin_hieu_giao_thong,LAW36,"Trả lời câu hỏi về luật giao thông đường bộ Việt Nam. Trả lời ngắn gọn, đúng căn cứ, không bịa thông tin.",Đèn xanh trong tín hiệu giao thông có ý nghĩa gì?,"Tín hiệu đèn màu xanh là được đi, nhưng người điều khiển phương tiện vẫn phải giảm tốc độ hoặc dừng lại để nhường đường cho người đi bộ, xe lăn của người khuyết tật đang đi ở lòng đường."
TRAIN_052,bao_hieu_tin_hieu_giao_thong,LAW36,"Trả lời câu hỏi về luật giao thông đường bộ Việt Nam. Trả lời ngắn gọn, đúng căn cứ, không bịa thông tin.","Khi gặp đèn vàng, người điều khiển phương tiện phải xử lý thế nào?","Khi gặp đèn vàng, người điều khiển phương tiện phải dừng lại trước vạch dừng, trừ trường hợp đang đi trên vạch dừng hoặc đã đi qua vạch dừng thì được đi tiếp."
TRAIN_053,bao_hieu_tin_hieu_giao_thong,LAW36,"Trả lời câu hỏi về luật giao thông đường bộ Việt Nam. Trả lời ngắn gọn, đúng căn cứ, không bịa thông tin.",Đèn vàng nhấp nháy yêu cầu người điều khiển phương tiện làm gì?,"Khi đèn vàng nhấp nháy, người điều khiển phương tiện được đi nhưng phải quan sát, giảm tốc độ hoặc dừng lại để nhường đường khi cần thiết."
TRAIN_054,bao_hieu_tin_hieu_giao_thong,LAW36,"Trả lời câu hỏi về luật giao thông đường bộ Việt Nam. Trả lời ngắn gọn, đúng căn cứ, không bịa thông tin.",Đèn đỏ có ý nghĩa gì?,Tín hiệu đèn màu đỏ là cấm đi.
TRAIN_055,bao_hieu_tin_hieu_giao_thong,LAW36,"Trả lời câu hỏi về luật giao thông đường bộ Việt Nam. Trả lời ngắn gọn, đúng căn cứ, không bịa thông tin.",Biển báo cấm dùng để làm gì?,Biển báo cấm dùng để biểu thị các điều cấm.
TRAIN_056,bao_hieu_tin_hieu_giao_thong,LAW36,"Trả lời câu hỏi về luật giao thông đường bộ Việt Nam. Trả lời ngắn gọn, đúng căn cứ, không bịa thông tin.",Biển báo nguy hiểm dùng để làm gì?,Biển báo nguy hiểm dùng để cảnh báo các tình huống nguy hiểm có thể xảy ra.
TRAIN_057,bao_hieu_tin_hieu_giao_thong,LAW36,"Trả lời câu hỏi về luật giao thông đường bộ Việt Nam. Trả lời ngắn gọn, đúng căn cứ, không bịa thông tin.",Biển hiệu lệnh có ý nghĩa gì?,Biển hiệu lệnh dùng để báo hiệu lệnh phải thi hành.
TRAIN_058,bao_hieu_tin_hieu_giao_thong,LAW36,"Trả lời câu hỏi về luật giao thông đường bộ Việt Nam. Trả lời ngắn gọn, đúng căn cứ, không bịa thông tin.",Biển chỉ dẫn có chức năng gì?,Biển chỉ dẫn dùng để chỉ dẫn hướng đi hoặc các điều cần biết.
TRAIN_059,bao_hieu_tin_hieu_giao_thong,LAW36,"Trả lời câu hỏi về luật giao thông đường bộ Việt Nam. Trả lời ngắn gọn, đúng căn cứ, không bịa thông tin.",Biển phụ được dùng để làm gì?,"Biển phụ dùng để thuyết minh bổ sung cho biển báo cấm, biển báo nguy hiểm, biển hiệu lệnh và biển chỉ dẫn."
TRAIN_060,bao_hieu_tin_hieu_giao_thong,LAW36,"Trả lời câu hỏi về luật giao thông đường bộ Việt Nam. Trả lời ngắn gọn, đúng căn cứ, không bịa thông tin.",Vạch kẻ đường có ý nghĩa gì?,"Vạch kẻ đường chỉ sự phân chia làn đường, vị trí hoặc hướng đi và vị trí dừng lại."
TRAIN_061,bao_hieu_tin_hieu_giao_thong,LAW36,"Trả lời câu hỏi về luật giao thông đường bộ Việt Nam. Trả lời ngắn gọn, đúng căn cứ, không bịa thông tin.",Cọc tiêu và tường bảo vệ dùng để hướng dẫn điều gì?,Cọc tiêu và tường bảo vệ hướng dẫn người tham gia giao thông biết phạm vi an toàn của nền đường và hướng đi của đường.
TRAIN_062,bao_hieu_tin_hieu_giao_thong,LAW36,"Trả lời câu hỏi về luật giao thông đường bộ Việt Nam. Trả lời ngắn gọn, đúng căn cứ, không bịa thông tin.",Rào chắn trong báo hiệu đường bộ có tác dụng gì?,Rào chắn dùng để ngăn không cho người và phương tiện qua lại.
TRAIN_063,bao_hieu_tin_hieu_giao_thong,LAW36,"Trả lời câu hỏi về luật giao thông đường bộ Việt Nam. Trả lời ngắn gọn, đúng căn cứ, không bịa thông tin.",Đinh phản quang và tiêu phản quang dùng để làm gì?,"Đinh phản quang và tiêu phản quang dùng để thông tin, cảnh báo về phần đường, làn đường."
TRAIN_064,bao_hieu_tin_hieu_giao_thong,LAW36,"Trả lời câu hỏi về luật giao thông đường bộ Việt Nam. Trả lời ngắn gọn, đúng căn cứ, không bịa thông tin.",Cột Km và cọc H có chức năng gì?,Cột Km và cọc H báo hiệu cho người tham gia giao thông về các thông tin của đường bộ.
TRAIN_065,bao_hieu_tin_hieu_giao_thong,LAW36,"Trả lời câu hỏi về luật giao thông đường bộ Việt Nam. Trả lời ngắn gọn, đúng căn cứ, không bịa thông tin.",Thiết bị âm thanh báo hiệu đường bộ dùng để làm gì?,Thiết bị âm thanh báo hiệu đường bộ dùng để hỗ trợ cảnh báo nguy hiểm cho người tham gia giao thông đường bộ.
TRAIN_066,bao_hieu_tin_hieu_giao_thong,LAW36,"Trả lời câu hỏi về luật giao thông đường bộ Việt Nam. Trả lời ngắn gọn, đúng căn cứ, không bịa thông tin.",Nếu cùng một vị trí có biển báo cố định và biển báo tạm thời khác ý nghĩa thì phải theo biển nào?,Người tham gia giao thông phải chấp hành hiệu lệnh của biển báo hiệu tạm thời.
TRAIN_067,bao_hieu_tin_hieu_giao_thong,LAW36,"Trả lời câu hỏi về luật giao thông đường bộ Việt Nam. Trả lời ngắn gọn, đúng căn cứ, không bịa thông tin.",Khi vừa có đèn tín hiệu vừa có biển báo hiệu thì tín hiệu nào được ưu tiên hơn?,"Theo thứ tự ưu tiên, tín hiệu đèn giao thông được chấp hành trước biển báo hiệu đường bộ."
TRAIN_068,bao_hieu_tin_hieu_giao_thong,LAW36,"Trả lời câu hỏi về luật giao thông đường bộ Việt Nam. Trả lời ngắn gọn, đúng căn cứ, không bịa thông tin.",Hiệu lệnh của người điều khiển giao thông có ưu tiên hơn đèn tín hiệu không?,Có. Hiệu lệnh của người điều khiển giao thông là loại báo hiệu được ưu tiên cao hơn tín hiệu đèn giao thông.
